speaker order,first name,last name,title,abstract
,remy,adderton,,
6,murray,batchelor,the free parafermion Z(N) spin chain: some correlations,
,florian,beyer,,
15,daniel,braak,,
,chris,bradly,monte carlo simulation of $f$-star lattice polymers,
,evgeny,buchbinder,,
,mark,bugden,,
,jean-sebastien,caux,,
2,zeying,chen,,
5,jan,de-gier,,
13,allan,ernest,,
,devid,ferri,,
25,tim,garoni,a limit theorem for the coupling time of the stochastic ising model,
,bryte,hagan,,
,robert,henry,,
,phillip,isaac,on the structure and representation of certain lie colour algebras,
,sergii,koval,,
,sergei,kuzenko,higher spin multiplets of conserved currents,
,jules,lamers,an exactly solvable long-range spin chain: the q-deformed haldane-shastry model,
17,zimin,li,,
,jon,links,controlled tunnelling of dipolar bosons in a triple-well potential,
,gabriel,nakhl,Quantum Dark Matter gravitational eigenstates and a paradigm shift in conceptualising dark matter,
,abrahim,nasrawi,,
,judy-anne,osborne,,
,paul,pearce,,
21,michael,ponds,,
,thomas,quella,,
30,francesco,ravanini,nonlinear integral equations in integrable deformations of SU(N)/SO(N) nonlinear sigma models,
,christophe,raymond,,
11,david,ridout,,
29,didina,serban,,
1,yibing,shen,,
,daniel,snell,distinguished curves in projective and conformal geometry,
,yury,stepanyants,soliton interaction with external forcing within the korteweg-de Vries equation,
18,guo chuan,thiang,string dualities in/from condensed matter,
,mathai,varghese,,
,alessandra,vittorini orgeas,,
,yuper,wang,,
,kyle,wright,,
3,ruijie,xu,,
,xilin,xu,boundary matrices for the six-vertex model,
7,zongzhen,zhou,two-point functions of random walk models on high-dimensional boxes,